Id,Word,Kana,Mean
1,ヽ,くりかえし,"[{""kind"":""n"",""mean"":""repetition mark in katakana""}]"
2,ヾ,くりかえし,"[{""kind"":""n"",""mean"":""voiced repetition mark in katakana""}]"
3,ゝ,くりかえし,"[{""kind"":""n"",""mean"":""repetition mark in hiragana""}]"
4,ゞ,くりかえし,"[{""kind"":""n"",""mean"":""voiced repetition mark in hiragana""}]"
5,〃,おなじ おなじく,"[{""kind"":""n"",""mean"":""ditto mark""}]"
6,仝,どうじょう,"[{""kind"":""n"",""mean"":""\""as above\"" mark""}]"
7,々,くりかえし おなじ おなじく のま どうのじてん,"[{""kind"":""n"",""mean"":""repetition of kanji (sometimes voiced)""}]"
8,漢数字ゼロ,かんすうじゼロ,"[{""kind"":""n"",""mean"":""\""kanji\"" zero""}]"
9,○,まる,"[{""kind"":""n"",""mean"":""circle (sometimes used for zero)""},{""mean"":""'correct' (when marking)""},{""mean"":""symbol used as a placeholder (either because a number of other words could be used in that position, or because of censorship)""},{""mean"":""period, full stop""},{""mean"":""maru mark, semivoiced sound, p-sound""}]"
10,ＡＢＣ順,エービーシーじゅん,"[{""kind"":""n"",""mean"":""alphabetical order""}]"
11,ＣＤプレーヤー,シーディープレーヤー シーディープレイヤー,"[{""kind"":""n"",""mean"":""CD player""}]"
12,Ｎ響,エヌきょう,"[{""kind"":""n"",""mean"":""NHK Symphony Orchestra""}]"
13,Ｏバック,オーバック,"[{""kind"":""n"",""mean"":""O-back, skirt with peek-a-boo hole in rump""}]"
14,ＲＳ２３２ケーブル,アールエスにさんにケーブル,"[{""kind"":""n"",""mean"":""rs232 cable""}]"
15,Ｔシャツ,ティーシャツ,"[{""kind"":""n"",""mean"":""T-shirt""}]"
16,Ｔバック,ティーバック,"[{""kind"":""n"",""mean"":""T-back, bikini thong""}]"
17,あうんの呼吸,あうんのこきゅう,"[{""kind"":""exp, n"",""mean"":""the harmonizing, mentally and physically, of two parties engaged in an activity, singing from the same hymn-sheet, dancing to the same beat""}]"
18,あおば,null,"[{""kind"":""n"",""mean"":""(former) regular (stops at every station) Tohoku-line Shinkansen""}]"
19,明白,めいはく,"[{""kind"":""adj-na"",""mean"":""obvious, clear, plain, evident, apparent, explicit, overt""}]"
